State,County,Population,% rural,FIPS,% Children in Poverty,% Unemployed,Income Ratio,% Children in Single-Parent Households,Violent Crime Rate,Injury Death Rate,Years of Potential Life Lost Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation Index,% Homeowners,% Completed High School,% Some College
Alabama,Autauga,56145,42.002162321,1001,14.9,4.88427897,5.1354458777,27.604047782,272.28222006,68.573069812,8027.0,67565.0,45.48245614,24.907957471,74.623127232,88.713681986,60.721735503
Alabama,Baldwin,229287,42.279099114,1003,12.4,5.60648182,4.3864778271,18.363822438,203.66039629,74.835078875,8118.0,71135.0,46.132285288,28.948138935,76.999773936,90.471384584,65.532107563
Alabama,Barbour,24589,67.789634702,1005,37.5,7.04553395,5.9949269327,54.040597472,414.27786068,82.143056519,12876.0,38866.0,60.206153366,19.350653278,61.950225274,74.731696353,38.355754858
Alabama,Bibb,22136,68.352607462,1007,21.9,6.63194444,5.3940513578,36.70411985,89.349125982,103.34904358,11191.0,50907.0,59.142769041,45.908037304,74.776139964,80.884468631,37.770408969
Alabama,Blount,57879,89.951502041,1009,18.9,4.08742549,4.7649692755,22.558418214,482.69061089,104.7493276,10787.0,55203.0,52.401269008,30.143480312,76.076397076,82.825136887,56.266590143
Alabama,Bullock,9976,51.374381528,1011,38.7,5.50020756,8.1070646221,58.85209713,311.0273327,98.258853123,11406.0,33124.0,75.462645648,27.517585973,73.811606882,74.941037736,28.082492321
Alabama,Butler,19504,71.23215735,1013,30.8,8.84496466,5.7044203696,41.104294479,581.58400519,105.63201463,12717.0,42268.0,79.844173442,29.892479149,73.274176568,86.353111433,37.121370378
Alabama,Calhoun,113469,33.696825557,1015,16.7,7.05017301,4.7555305953,30.980934184,756.06654427,92.519581559,11826.0,50259.0,59.959337787,41.353138141,70.380507942,85.07351172,57.976260921
Alabama,Chambers,32865,49.148034488,1017,26.2,6.79483139,4.4609294674,31.786074672,528.99973623,101.02217706,11059.0,39318.0,70.983754513,32.819479794,67.243410396,82.583820622,54.364278507
Alabama,Cherokee,26294,85.736273039,1019,23.3,4.60349171,4.4754098361,20.44453344,330.43879198,98.382832196,11395.0,50388.0,61.098280729,41.137449973,78.22997416,82.824008776,53.271889401
Alabama,Chilton,44397,86.74472424,1021,21.0,4.9714169,4.4054654626,25.803089169,507.81072095,88.240884038,10342.0,52693.0,64.627761461,36.676672369,75.134189032,81.80943853,42.353044703
Alabama,Choctaw,12418,100.0,1023,28.9,6.66522398,5.3818082789,43.916797488,128.41466262,97.200012542,12128.0,41649.0,75.281803543,42.103421828,81.613508443,82.694591385,64.167916042
Alabama,Clarke,23291,75.98033523,1025,28.7,9.01016862,6.9139695293,36.155339806,475.31243598,98.903677876,14428.0,44178.0,70.584894946,22.602731081,72.519575244,82.613901694,42.65437788
Alabama,Clay,13112,100.0,1027,23.8,4.02761795,5.2982527428,25.191956124,309.06721281,103.78905251,12553.0,44763.0,64.945652174,24.22720624,76.596157578,81.261338171,37.089678511
Alabama,Cleburne,14967,100.0,1029,19.5,4.56684678,4.8320038806,17.507418398,103.33333333,111.12896315,10529.0,50134.0,54.549035053,31.527934044,77.377892031,82.188271019,50.379008746
Alabama,Coffee,53230,47.195082886,1031,20.6,4.39028928,4.9553143374,30.087705051,276.20804419,70.611441356,9298.0,54203.0,47.844914401,33.426560197,67.801112726,85.646705254,63.427431274
Alabama,Colbert,55411,43.894686558,1033,20.9,6.5795059,4.6734459142,32.157477572,400.00735646,77.335570715,11071.0,54185.0,54.936740263,23.770040835,71.610772125,85.694910049,55.528386949
Alabama,Conecuh,11851,80.949501058,1035,35.1,7.30845661,4.2762477518,50.922654103,387.40920097,106.45441294,15564.0,34664.0,66.342710997,20.67253226,74.721919302,84.95354634,45.765230312
Alabama,Coosa,10650,100.0,1037,28.8,5.51001821,3.9552998954,33.125354509,254.8321954,112.43745666,13476.0,46509.0,63.853904282,49.635602598,81.075697211,83.166284265,44.101479915
Alabama,Covington,36930,69.651793989,1039,22.6,4.86422357,5.2419498839,27.072989076,331.12142449,89.480634989,12059.0,43544.0,55.876188941,35.549893117,74.271423808,85.344762194,51.999522502
Alabama,Crenshaw,13681,100.0,1041,25.6,5.70925956,5.7170605984,34.824902724,331.90736097,95.567686538,12024.0,45927.0,64.161849711,14.135359965,76.671323089,78.820735233,49.584487535
Alabama,Cullman,84515,73.239559237,1043,17.4,4.30696946,4.2971788296,18.79320508,129.39228552,97.613388624,10570.0,51844.0,50.711658404,46.234169748,74.792802445,82.263618208,55.15679614
Alabama,Dale,48959,50.888539532,1045,26.1,4.87204249,5.0341649189,30.117605447,436.72141878,81.453455459,10384.0,48493.0,61.86440678,29.930037954,58.644679206,85.314122069,59.624669055
Alabama,Dallas,36098,45.638977636,1047,42.3,10.73944866,5.8279407077,63.994328098,924.56116843,115.81170379,15053.0,37679.0,83.209219858,54.483312625,56.661691219,83.948303463,54.637631063
Alabama,DeKalb,71658,90.130644504,1049,20.2,4.51587715,4.5595983589,20.487271052,312.33068808,103.06015857,10883.0,47156.0,66.167664671,31.538551094,73.108287502,78.025504078,50.535050072
Alabama,Elmore,82158,54.18836614,1051,16.6,4.8525396,4.2575718544,23.002807906,238.67666368,75.844689648,9205.0,62524.0,48.991310918,31.499310841,75.182922736,87.263609556,54.682342302
Alabama,Escambia,36281,63.511573893,1053,26.1,5.97799765,5.4977224415,42.189586115,446.24531575,116.85971964,13083.0,41212.0,66.6604233,29.023319935,66.452710541,80.352488036,37.75257732
Alabama,Etowah,102371,37.483481758,1055,22.9,7.67606326,4.7220363412,34.13203601,603.96261974,96.202818177,12211.0,47872.0,55.650572293,60.551386915,72.965303753,85.328586469,56.155170343
Alabama,Franklin,31507,70.366515266,1059,22.9,4.42318358,4.3332124916,32.639593909,264.23443643,87.699787106,10961.0,40448.0,44.746580853,54.825735451,71.053825905,78.676854444,42.765766918
Alabama,Geneva,26411,89.641657335,1061,32.0,4.0978311,5.0148783476,27.144089733,413.57112113,84.828562989,12682.0,39882.0,58.368883312,15.59855164,75.245932652,81.811857877,47.780234734
Alabama,Greene,7990,100.0,1063,43.5,10.87893864,5.2376313276,69.988674972,669.34404284,85.187168379,14803.0,33609.0,84.18972332,20.809640482,68.565135305,80.92926491,50.375505488
Alabama,Hale,14670,89.168781726,1065,30.0,9.41563786,6.6349781695,51.171646163,208.55807264,93.482001328,13406.0,41836.0,66.841892438,28.507564616,75.664845173,80.664471715,49.758745476
Alabama,Henry,17223,87.752860941,1067,23.5,4.79894335,5.6840860587,23.637390568,197.37229718,83.771582818,10034.0,51126.0,55.142405063,29.717573037,83.450274558,80.473227444,51.46230212
Alabama,Houston,106580,33.804051326,1069,23.4,5.38634108,5.1209960839,32.785667107,487.78848416,71.729460069,9505.0,54391.0,62.810522811,41.726094573,65.928513975,86.873996404,58.682208313
Alabama,Jackson,51582,77.017303248,1071,23.4,5.26707531,4.8440700733,25.198083656,316.98494808,94.59788178,11395.0,46606.0,57.600313684,22.892004635,77.237688418,83.461807989,49.812091503
Alabama,Jefferson,655342,9.833765145,1073,20.1,6.22711318,5.3080170713,36.342311844,872.75002018,107.86975312,11420.0,57802.0,54.051166199,60.066244248,63.248054405,90.514998478,69.451822423
Alabama,Lamar,13764,100.0,1075,21.3,4.85165794,5.9070810846,27.7869122,162.21172156,101.04363642,9967.0,40204.0,58.289703316,22.174253789,72.811223584,82.956167176,48.606610499
