,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Quartile,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Quartile.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Quartile.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Quartile.3,Unreliable.1,% Low Birthweight,95% CI - Low.4,95% CI - High.4,Quartile.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Adults Reporting Currently Smoking,95% CI - Low.5,95% CI - High.5,Quartile.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Quartile.6,Food Environment Index,Quartile.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Quartile.8,% With Access to Exercise Opportunities,Quartile.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Quartile.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Quartile.11,# Chlamydia Cases,Chlamydia Rate,Quartile.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Quartile.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Quartile.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Quartile.15,# Dentists,Dentist Rate,Dentist Ratio,Quartile.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Quartile.17,Preventable Hospitalization Rate,Quartile.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% with Annual Mammogram,Quartile.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Quartile.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Quartile.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Quartile.22,# Unemployed,Labor Force,% Unemployed,Quartile.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Quartile.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Quartile.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Quartile.26,# Associations,Social Association Rate,Quartile.27,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Quartile.28,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Quartile.29,Presence of Water Violation,Quartile.30,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Quartile.31,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Quartile.32,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Quartile.33
190,6000,California,,,378883.0,5679.0,5653.0,5705.0,,10423.0,9920.0,10926.0,,3248.0,3197.0,3300.0,,10748.0,10603.0,10893.0,,5505.0,5465.0,5545.0,,5892.0,5847.0,5938.0,,14.0,13.0,16.0,,3.0,2.7,3.3,,4.0,3.7,4.3,,,7.0,7.0,7.0,,8.0,8.0,8.0,8.0,7.0,8.0,12.0,11.0,12.0,7.0,7.0,7.0,6.0,6.0,6.0,9.0,8.0,10.0,,30.0,28.0,32.0,,8.8,,21.0,20.0,23.0,,95.0,,18.0,17.0,20.0,,5185.0,18737.0,28.0,27.0,28.0,,178679.0,452.2,,16.0,16.0,16.0,,20.0,18.0,21.0,3.0,3.0,3.0,19.0,19.0,19.0,23.0,23.0,23.0,7.0,7.0,7.0,2702033.0,8.0,8.0,8.0,,31906.0,81.0,1234:1,,35599.0,91.0,1102:1,,166354.0,424.0,236:1,,2256.0,,4073.0,1609.0,4324.0,2643.0,2070.0,30.0,,23.0,23.0,23.0,22.0,34.0,46.0,,35.0,51.0,29.0,36.0,49.0,22561035,26797070,84,84.0,84.0,,7571776,11282671,67,67.0,67.0,,1381249.0,18923195.0,7.3,,16.0,15.0,16.0,,22.0,10.0,26.0,21.0,8.0,171386.0,33346.0,5.1,,2015330.0,8968327.0,22.0,22.0,23.0,,23784,6.0,,108182.0,55.0,55.0,55.0,,101.0,95.0,107.0,26.0,26.0,27.0,86.0,84.0,87.0,40.0,40.0,41.0,75.0,74.0,76.0,7.1,,,,26,26.0,26.0,19,19,19,8,8,8,1,1,1,,70,70.0,70.0,,67.0,65.0,68.0,65.0,65.0,66.0,70.0,70.0,70.0,73.0,72.0,73.0,70.0,70.0,70.0,18283118,42,42.0,42.0,
191,6001,California,Alameda,,13444.0,4651.0,4535.0,4766.0,1.0,9654.0,6986.0,13003.0,,2772.0,2601.0,2943.0,,11112.0,10577.0,11648.0,,4589.0,4356.0,4821.0,,4356.0,4158.0,4553.0,,12.0,11.0,13.0,1.0,2.6,2.4,2.8,1.0,4.5,4.3,4.7,1.0,,7.0,7.0,7.0,4.0,10.0,7.0,14.0,8.0,8.0,8.0,11.0,11.0,12.0,6.0,6.0,6.0,6.0,5.0,6.0,10.0,9.0,11.0,1.0,24.0,24.0,25.0,1.0,8.8,1.0,18.0,16.0,20.0,1.0,99.0,1.0,18.0,18.0,19.0,1.0,111.0,438.0,25.0,23.0,28.0,1.0,7271.0,435.0,3.0,9.0,8.0,9.0,1.0,,,,2.0,1.0,2.0,14.0,13.0,15.0,18.0,17.0,19.0,3.0,3.0,3.0,70851.0,5.0,4.0,5.0,1.0,1881.0,113.0,884:1,1.0,1661.0,101.0,993:1,1.0,11790.0,715.0,140:1,1.0,2172.0,3.0,,1511.0,3858.0,2369.0,2031.0,27.0,4.0,16.0,23.0,24.0,23.0,33.0,49.0,2.0,45.0,54.0,31.0,41.0,54.0,1062591,1193863,89,,,2.0,414568,531655,78,,,1.0,49105.0,809964.0,6.1,2.0,10.0,8.0,12.0,1.0,11.0,5.0,24.0,13.0,5.0,223513.0,42667.0,5.2,4.0,65523.0,343016.0,19.0,18.0,20.0,2.0,1133,6.8,2.0,3722.0,45.0,43.0,46.0,1.0,80.0,50.0,121.0,20.0,18.0,22.0,101.0,94.0,107.0,38.0,35.0,40.0,55.0,52.0,58.0,9.4,3.0,No,1.0,23,23.0,24.0,16,16,17,8,8,8,1,1,1,3.0,56,56.0,57.0,1.0,62.0,58.0,66.0,58.0,57.0,59.0,65.0,62.0,67.0,68.0,66.0,69.0,61.0,60.0,62.0,817140,47,47.0,48.0,4.0
192,6003,California,Alpine,x,,,,,2.0,,,,,,,,,,,,,,,,,,,,,13.0,12.0,15.0,1.0,3.2,3.0,3.5,2.0,4.9,4.6,5.2,3.0,,,,,3.0,,,,,,,,,,,,,,,,14.0,11.0,16.0,2.0,30.0,28.0,31.0,2.0,6.7,4.0,18.0,16.0,20.0,1.0,78.0,3.0,23.0,23.0,24.0,4.0,4.0,15.0,27.0,13.0,41.0,2.0,,,2.0,,,,3.0,,,,,,,,,,,,,,,,92.0,11.0,9.0,13.0,4.0,0.0,0.0,1119:0,4.0,0.0,0.0,1235:0,4.0,4.0,324.0,309:1,3.0,1263.0,1.0,,,,,,27.0,4.0,,,,,,32.0,4.0,35.0,,,,34.0,908,969,94,87.0,100.0,1.0,147,277,53,35.0,72.0,4.0,42.0,519.0,8.1,3.0,27.0,18.0,37.0,4.0,38.0,,,17.0,,151594.0,34523.0,4.4,2.0,84.0,289.0,29.0,15.0,43.0,4.0,0,0.0,4.0,15.0,271.0,152.0,447.0,4.0,,,,,,,,,,,,,,,,3.6,1.0,No,1.0,16,8.0,23.0,12,0,24,3,0,8,0,0,6,1.0,58,46.0,70.0,1.0,,,,,,,,,,,,,,,,514,31,14.0,47.0,2.0
193,6005,California,Amador,,592.0,6930.0,5932.0,7928.0,2.0,,,,,,,,,,,,,,,,,,,,,13.0,12.0,15.0,2.0,3.2,3.0,3.5,2.0,4.9,4.7,5.2,3.0,,6.0,5.0,7.0,1.0,,,,,,,,,,7.0,4.0,10.0,6.0,5.0,7.0,14.0,12.0,17.0,3.0,30.0,29.0,31.0,2.0,8.6,1.0,19.0,17.0,21.0,2.0,62.0,4.0,24.0,23.0,25.0,4.0,24.0,68.0,35.0,29.0,41.0,4.0,55.0,138.4,1.0,14.0,11.0,18.0,2.0,,,,,,,,,,18.0,11.0,27.0,14.0,11.0,18.0,1599.0,6.0,5.0,8.0,2.0,23.0,57.0,1743:1,3.0,26.0,63.0,1587:1,3.0,112.0,271.0,368:1,3.0,1768.0,1.0,,,,,,38.0,1.0,22.0,43.0,,34.0,38.0,53.0,1.0,53.0,66.0,23.0,53.0,53.0,28968,31725,91,90.0,93.0,1.0,5260,9487,55,49.0,62.0,3.0,997.0,14342.0,7.0,3.0,14.0,9.0,18.0,2.0,71.0,,,3.0,7.0,129752.0,29688.0,4.4,1.0,1058.0,5964.0,18.0,12.0,24.0,1.0,29,7.2,2.0,200.0,102.0,88.0,117.0,4.0,,,,,,,,,,61.0,35.0,97.0,114.0,97.0,131.0,6.4,2.0,Yes,2.0,18,15.0,21.0,16,13,19,3,1,4,1,0,2,1.0,77,73.0,81.0,3.0,,,,,,,,,,73.0,62.0,84.0,73.0,69.0,77.0,14830,45,39.0,51.0,4.0
194,6007,California,Butte,,3213.0,7851.0,7436.0,8267.0,3.0,12626.0,8890.0,17403.0,,6143.0,4676.0,7924.0,,10674.0,7755.0,14329.0,,5536.0,4691.0,6382.0,,8176.0,7676.0,8676.0,,15.0,14.0,17.0,3.0,3.5,3.3,3.8,3.0,5.2,4.9,5.5,4.0,,6.0,6.0,6.0,1.0,5.0,2.0,7.0,7.0,5.0,8.0,11.0,8.0,14.0,7.0,6.0,7.0,6.0,5.0,6.0,15.0,13.0,18.0,4.0,31.0,29.0,32.0,3.0,7.3,3.0,21.0,19.0,23.0,2.0,85.0,3.0,21.0,21.0,22.0,3.0,53.0,186.0,28.0,25.0,32.0,2.0,1132.0,516.5,4.0,14.0,13.0,15.0,2.0,30.0,21.0,42.0,11.0,8.0,14.0,25.0,18.0,34.0,17.0,15.0,20.0,13.0,11.0,14.0,12276.0,7.0,6.0,8.0,2.0,131.0,62.0,1624:1,3.0,167.0,80.0,1247:1,2.0,1704.0,818.0,122:1,1.0,3725.0,4.0,7444.0,2404.0,4842.0,2854.0,3752.0,39.0,1.0,32.0,29.0,28.0,31.0,40.0,45.0,2.0,41.0,38.0,28.0,43.0,45.0,128433,142167,90,90.0,91.0,2.0,37309,53033,70,67.0,73.0,2.0,6311.0,92031.0,6.9,2.0,18.0,14.0,23.0,3.0,15.0,28.0,36.0,27.0,13.0,125010.0,23361.0,5.4,4.0,9965.0,44162.0,23.0,20.0,25.0,2.0,172,8.1,1.0,1128.0,101.0,95.0,107.0,3.0,117.0,75.0,173.0,31.0,19.0,48.0,102.0,67.0,149.0,53.0,43.0,64.0,116.0,109.0,124.0,7.1,2.0,No,1.0,21,20.0,23.0,18,17,19,3,3,4,1,1,2,2.0,74,72.0,76.0,2.0,80.0,73.0,87.0,66.0,60.0,73.0,54.0,37.0,71.0,73.0,69.0,77.0,75.0,73.0,78.0,93043,24,22.0,26.0,1.0
195,6009,California,Calaveras,,744.0,7892.0,6825.0,8960.0,3.0,,,,,,,,,,,,,,,,,,,,,14.0,12.0,16.0,2.0,3.4,3.1,3.7,3.0,5.0,4.7,5.3,3.0,,6.0,5.0,7.0,2.0,,,,,,,,,,7.0,4.0,9.0,6.0,5.0,7.0,15.0,12.0,17.0,3.0,30.0,28.0,31.0,2.0,7.9,2.0,19.0,17.0,21.0,2.0,76.0,3.0,23.0,22.0,24.0,4.0,22.0,63.0,35.0,28.0,41.0,3.0,8.0,17.4,1.0,13.0,11.0,16.0,2.0,,,,,,,,,,12.0,8.0,19.0,13.0,11.0,17.0,2365.0,7.0,6.0,8.0,2.0,20.0,43.0,2315:1,4.0,22.0,48.0,2101:1,4.0,103.0,223.0,449:1,4.0,1951.0,2.0,,,,2132.0,1973.0,35.0,1.0,18.0,35.0,38.0,27.0,36.0,48.0,2.0,43.0,47.0,35.0,40.0,48.0,31737,34951,91,89.0,92.0,2.0,4840,8685,56,49.0,63.0,3.0,1225.0,21402.0,5.7,1.0,18.0,13.0,24.0,3.0,,8.0,,22.0,22.0,139602.0,30058.0,4.6,3.0,1807.0,7635.0,24.0,17.0,31.0,3.0,40,8.6,1.0,217.0,95.0,82.0,108.0,3.0,,,,,,,,,,39.0,19.0,69.0,103.0,88.0,117.0,5.5,1.0,Yes,2.0,18,15.0,21.0,16,13,19,2,1,3,0,0,1,1.0,74,71.0,77.0,2.0,,,,,,,,,,73.0,60.0,87.0,65.0,61.0,69.0,16387,59,51.0,66.0,4.0
196,6011,California,Colusa,,229.0,6877.0,5626.0,8128.0,2.0,,,,,,,,,,,,,5361.0,4027.0,6994.0,,8245.0,5893.0,10597.0,,19.0,17.0,22.0,4.0,3.8,3.4,4.1,4.0,5.0,4.7,5.3,3.0,,6.0,5.0,7.0,1.0,,,,,,,,,,6.0,5.0,8.0,6.0,4.0,8.0,14.0,12.0,16.0,3.0,34.0,33.0,36.0,4.0,6.9,4.0,26.0,24.0,29.0,4.0,77.0,3.0,20.0,19.0,21.0,2.0,7.0,45.0,16.0,9.0,24.0,1.0,52.0,241.3,2.0,24.0,19.0,28.0,3.0,,,,,,,,,,26.0,21.0,31.0,14.0,8.0,22.0,2327.0,13.0,11.0,15.0,4.0,6.0,28.0,3593:1,4.0,9.0,41.0,2435:1,4.0,45.0,205.0,487:1,4.0,4123.0,4.0,,,,3709.0,4532.0,33.0,2.0,,,,26.0,38.0,49.0,2.0,42.0,68.0,20.0,46.0,50.0,10223,13942,73,70.0,76.0,4.0,2830,5618,50,43.0,58.0,4.0,1342.0,10740.0,12.5,4.0,16.0,11.0,21.0,2.0,,,,16.0,30.0,119293.0,22913.0,5.2,4.0,1094.0,5935.0,18.0,12.0,24.0,1.0,11,5.1,3.0,77.0,71.0,56.0,89.0,3.0,,,,,,,,,,48.0,33.0,68.0,102.0,72.0,139.0,7.0,2.0,Yes,2.0,17,14.0,20.0,10,7,13,7,5,9,1,0,2,1.0,81,78.0,83.0,4.0,,,,,,,,,,76.0,71.0,81.0,76.0,70.0,81.0,9320,32,26.0,37.0,2.0
197,6013,California,Contra Costa,,9986.0,4995.0,4844.0,5145.0,1.0,9104.0,6227.0,12852.0,,2766.0,2515.0,3017.0,,10658.0,9976.0,11340.0,,4479.0,4213.0,4744.0,,4881.0,4642.0,5120.0,,12.0,11.0,14.0,1.0,2.7,2.5,2.9,1.0,4.2,4.0,4.4,1.0,,7.0,7.0,7.0,3.0,9.0,5.0,13.0,8.0,8.0,9.0,12.0,11.0,12.0,6.0,6.0,6.0,6.0,5.0,6.0,10.0,9.0,12.0,1.0,28.0,27.0,29.0,1.0,8.8,1.0,19.0,17.0,21.0,2.0,98.0,1.0,20.0,20.0,21.0,2.0,116.0,399.0,29.0,27.0,32.0,2.0,4504.0,390.5,3.0,9.0,9.0,10.0,1.0,12.0,6.0,21.0,2.0,1.0,2.0,14.0,13.0,15.0,17.0,16.0,18.0,3.0,3.0,4.0,52246.0,5.0,5.0,6.0,1.0,1190.0,103.0,968:1,1.0,1067.0,92.0,1088:1,2.0,4473.0,385.0,260:1,2.0,2168.0,2.0,,1481.0,3917.0,2275.0,2063.0,31.0,2.0,18.0,27.0,24.0,22.0,36.0,52.0,1.0,57.0,53.0,33.0,41.0,56.0,722456,805020,90,89.0,90.0,2.0,218959,304947,72,,,1.0,34478.0,542352.0,6.4,2.0,11.0,10.0,13.0,1.0,8.0,7.0,17.0,15.0,4.0,216151.0,46489.0,4.6,3.0,49983.0,263028.0,19.0,18.0,20.0,1.0,640,5.6,3.0,2896.0,50.0,49.0,52.0,1.0,78.0,46.0,126.0,24.0,21.0,27.0,94.0,86.0,102.0,38.0,35.0,41.0,58.0,55.0,61.0,7.8,3.0,Yes,2.0,20,20.0,21.0,16,15,16,5,5,5,1,1,1,2.0,63,63.0,64.0,1.0,73.0,63.0,83.0,59.0,57.0,60.0,64.0,60.0,67.0,71.0,69.0,72.0,66.0,64.0,67.0,553536,52,51.0,53.0,4.0
198,6015,California,Del Norte,,498.0,9205.0,7945.0,10465.0,4.0,18729.0,12725.0,26584.0,,,,,,,,,,,,,,10433.0,8654.0,12211.0,,18.0,17.0,20.0,4.0,3.9,3.6,4.2,4.0,5.3,5.0,5.5,4.0,,6.0,5.0,7.0,2.0,7.0,4.0,11.0,,,,,,,5.0,3.0,8.0,6.0,4.0,7.0,18.0,15.0,20.0,4.0,33.0,32.0,34.0,3.0,6.4,4.0,24.0,22.0,26.0,3.0,79.0,3.0,21.0,20.0,22.0,3.0,12.0,39.0,31.0,22.0,39.0,3.0,88.0,316.4,2.0,34.0,29.0,39.0,4.0,41.0,26.0,62.0,33.0,16.0,60.0,,,,30.0,22.0,42.0,34.0,27.0,42.0,1397.0,7.0,6.0,8.0,2.0,18.0,64.0,1554:1,3.0,23.0,82.0,1222:1,2.0,133.0,473.0,211:1,2.0,1941.0,2.0,1414.0,,,3159.0,1862.0,25.0,4.0,26.0,31.0,,21.0,25.0,39.0,3.0,29.0,37.0,,34.0,39.0,15878,19703,81,78.0,83.0,3.0,3296,7512,44,37.0,51.0,4.0,708.0,9314.0,7.6,3.0,27.0,19.0,35.0,4.0,24.0,,,26.0,19.0,106173.0,21634.0,4.9,4.0,1649.0,5973.0,28.0,18.0,38.0,4.0,10,3.6,4.0,158.0,114.0,96.0,132.0,4.0,222.0,144.0,328.0,,,,,,,36.0,17.0,67.0,136.0,112.0,160.0,6.1,2.0,No,1.0,19,15.0,22.0,15,11,18,5,3,7,1,0,1,1.0,76,72.0,79.0,3.0,72.0,64.0,80.0,,,,,,,79.0,61.0,96.0,76.0,70.0,82.0,8939,16,11.0,21.0,1.0
199,6017,California,El Dorado,,2016.0,5329.0,4912.0,5746.0,2.0,,,,,,,,,,,,,4208.0,3313.0,5102.0,,5713.0,5203.0,6223.0,,12.0,10.0,13.0,1.0,2.9,2.7,3.2,1.0,4.7,4.4,5.0,2.0,,7.0,6.0,7.0,3.0,10.0,4.0,15.0,9.0,6.0,11.0,,,,8.0,6.0,9.0,6.0,6.0,7.0,12.0,10.0,14.0,2.0,28.0,27.0,30.0,1.0,8.4,2.0,17.0,15.0,19.0,1.0,88.0,2.0,23.0,22.0,24.0,4.0,38.0,125.0,30.0,26.0,35.0,3.0,359.0,186.2,1.0,8.0,7.0,9.0,1.0,,,,,,,,,,15.0,12.0,18.0,6.0,5.0,7.0,8069.0,5.0,5.0,6.0,1.0,153.0,79.0,1261:1,2.0,153.0,79.0,1263:1,2.0,768.0,397.0,252:1,2.0,2091.0,2.0,6803.0,1056.0,,2526.0,2055.0,36.0,1.0,44.0,29.0,36.0,31.0,37.0,51.0,1.0,40.0,47.0,39.0,42.0,52.0,132023,139444,95,94.0,95.0,1.0,29924,41606,72,69.0,75.0,1.0,5232.0,91142.0,5.7,1.0,11.0,8.0,13.0,1.0,6.0,1.0,12.0,21.0,9.0,177523.0,35988.0,4.9,4.0,5793.0,38003.0,15.0,13.0,18.0,1.0,114,5.9,3.0,696.0,73.0,68.0,79.0,3.0,,,,23.0,12.0,40.0,,,,40.0,30.0,53.0,82.0,76.0,89.0,7.0,2.0,No,1.0,18,16.0,19.0,15,14,17,2,2,3,1,0,1,1.0,73,71.0,75.0,2.0,,,,71.0,64.0,78.0,71.0,55.0,87.0,72.0,65.0,78.0,67.0,66.0,69.0,85493,38,36.0,41.0,3.0
